year,quarter,symbol,timeframe,file_exists,row_count,first_bar,last_bar,expected_bars,pct_complete,note
2018,Q1,GBPCHF,M1,N,0,,,92571,0.0,missing
2018,Q1,GBPCHF,M5,N,0,,,18514,0.0,missing
2018,Q1,GBPCHF,M15,N,0,,,6171,0.0,missing
2018,Q1,GBPJPY,M1,N,0,,,92571,0.0,missing
2018,Q1,GBPJPY,M5,N,0,,,18514,0.0,missing
2018,Q1,GBPJPY,M15,N,0,,,6171,0.0,missing
2018,Q1,GBPNZD,M1,N,0,,,92571,0.0,missing
2018,Q1,GBPNZD,M5,N,0,,,18514,0.0,missing
2018,Q1,GBPNZD,M15,N,0,,,6171,0.0,missing
2018,Q1,NZDCAD,M1,N,0,,,92571,0.0,missing
2018,Q1,NZDCAD,M5,N,0,,,18514,0.0,missing
2018,Q1,NZDCAD,M15,N,0,,,6171,0.0,missing
2018,Q1,NZDCHF,M1,N,0,,,92571,0.0,missing
2018,Q1,NZDCHF,M5,N,0,,,18514,0.0,missing
2018,Q1,NZDCHF,M15,N,0,,,6171,0.0,missing
2018,Q1,NZDJPY,M1,N,0,,,92571,0.0,missing
2018,Q1,NZDJPY,M5,N,0,,,18514,0.0,missing
2018,Q1,NZDJPY,M15,N,0,,,6171,0.0,missing
2018,Q1,AUS200,M1,N,0,,,92571,0.0,missing
2018,Q1,AUS200,M5,N,0,,,18514,0.0,missing
2018,Q1,AUS200,M15,N,0,,,6171,0.0,missing
2018,Q1,US30,M1,N,0,,,92571,0.0,missing
2018,Q1,US30,M5,N,0,,,18514,0.0,missing
2018,Q1,US30,M15,N,0,,,6171,0.0,missing
2018,Q1,GER40,M1,N,0,,,92571,0.0,missing
2018,Q1,GER40,M5,N,0,,,18514,0.0,missing
2018,Q1,GER40,M15,N,0,,,6171,0.0,missing
2018,Q1,UK100,M1,N,0,,,92571,0.0,missing
2018,Q1,UK100,M5,N,0,,,18514,0.0,missing
2018,Q1,UK100,M15,N,0,,,6171,0.0,missing
2018,Q1,NAS100,M1,N,0,,,92571,0.0,missing
2018,Q1,NAS100,M5,N,0,,,18514,0.0,missing
2018,Q1,NAS100,M15,N,0,,,6171,0.0,missing
2018,Q1,EUSTX50,M1,N,0,,,92571,0.0,missing
2018,Q1,EUSTX50,M5,N,0,,,18514,0.0,missing
2018,Q1,EUSTX50,M15,N,0,,,6171,0.0,missing
2018,Q1,JPN225,M1,N,0,,,92571,0.0,missing
2018,Q1,JPN225,M5,N,0,,,18514,0.0,missing
2018,Q1,JPN225,M15,N,0,,,6171,0.0,missing
2018,Q1,SPX500,M1,N,0,,,92571,0.0,missing
2018,Q1,SPX500,M5,N,0,,,18514,0.0,missing
2018,Q1,SPX500,M15,N,0,,,6171,0.0,missing
2018,Q1,XTIUSD,M1,N,0,,,92571,0.0,missing
2018,Q1,XTIUSD,M5,N,0,,,18514,0.0,missing
2018,Q1,XTIUSD,M15,N,0,,,6171,0.0,missing
2018,Q1,XBRUSD,M1,N,0,,,92571,0.0,missing
2018,Q1,XBRUSD,M5,N,0,,,18514,0.0,missing
2018,Q1,XBRUSD,M15,N,0,,,6171,0.0,missing
2018,Q1,XAUUSD,M1,N,0,,,92571,0.0,missing
2018,Q1,XAUUSD,M5,N,0,,,18514,0.0,missing
2018,Q1,XAUUSD,M15,N,0,,,6171,0.0,missing
2018,Q1,XAGUSD,M1,N,0,,,92571,0.0,missing
2018,Q1,XAGUSD,M5,N,0,,,18514,0.0,missing
2018,Q1,XAGUSD,M15,N,0,,,6171,0.0,missing
2018,Q1,USDMXN,M1,N,0,,,92571,0.0,missing
2018,Q1,USDMXN,M5,N,0,,,18514,0.0,missing
2018,Q1,USDMXN,M15,N,0,,,6171,0.0,missing
2018,Q1,USDZAR,M1,N,0,,,92571,0.0,missing
2018,Q1,USDZAR,M5,N,0,,,18514,0.0,missing
2018,Q1,USDZAR,M15,N,0,,,6171,0.0,missing
2018,Q2,BTCUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,BTCUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,BTCUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,EURUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,EURUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,EURUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,GBPUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,GBPUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,GBPUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,USDJPY,M1,N,0,,,93600,0.0,missing
2018,Q2,USDJPY,M5,N,0,,,18720,0.0,missing
2018,Q2,USDJPY,M15,N,0,,,6240,0.0,missing
2018,Q2,USDCHF,M1,N,0,,,93600,0.0,missing
2018,Q2,USDCHF,M5,N,0,,,18720,0.0,missing
2018,Q2,USDCHF,M15,N,0,,,6240,0.0,missing
2018,Q2,AUDUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,AUDUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,AUDUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,NZDUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,NZDUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,NZDUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,USDCAD,M1,N,0,,,93600,0.0,missing
2018,Q2,USDCAD,M5,N,0,,,18720,0.0,missing
2018,Q2,USDCAD,M15,N,0,,,6240,0.0,missing
2018,Q2,AUDCAD,M1,N,0,,,93600,0.0,missing
2018,Q2,AUDCAD,M5,N,0,,,18720,0.0,missing
2018,Q2,AUDCAD,M15,N,0,,,6240,0.0,missing
2018,Q2,AUDCHF,M1,N,0,,,93600,0.0,missing
2018,Q2,AUDCHF,M5,N,0,,,18720,0.0,missing
2018,Q2,AUDCHF,M15,N,0,,,6240,0.0,missing
2018,Q2,AUDJPY,M1,N,0,,,93600,0.0,missing
2018,Q2,AUDJPY,M5,N,0,,,18720,0.0,missing
2018,Q2,AUDJPY,M15,N,0,,,6240,0.0,missing
2018,Q2,AUDNZD,M1,N,0,,,93600,0.0,missing
2018,Q2,AUDNZD,M5,N,0,,,18720,0.0,missing
2018,Q2,AUDNZD,M15,N,0,,,6240,0.0,missing
2018,Q2,CADCHF,M1,N,0,,,93600,0.0,missing
2018,Q2,CADCHF,M5,N,0,,,18720,0.0,missing
2018,Q2,CADCHF,M15,N,0,,,6240,0.0,missing
2018,Q2,CADJPY,M1,N,0,,,93600,0.0,missing
2018,Q2,CADJPY,M5,N,0,,,18720,0.0,missing
2018,Q2,CADJPY,M15,N,0,,,6240,0.0,missing
